id_x,synopsis,rating,genre,director,writer,theater_date,dvd_date,currency,box_office,runtime,studio,date_index,index,id_y,release_date,movie,production_budget,domestic_gross,worldwide_gross
738,"Set in London in 1921, Florence Cathcart (Rebecca Hall), author of the popular book ""Seeing Through Ghosts,"" has devoted her career to exposing claims of the supernatural as nothing but hoaxes. Haunted by the recent death of her fianc",R,Art House and International|Horror|Mystery and Suspense,Nick Murphy,Nick Murphy|Stephen Volk,"Aug 17, 2012","Jan 29, 2013",$,"175,088",107.0,Cohen Media Group,2012-08-17,2012-08-17,4,"Aug 17, 2012",The Awakening,4900000,95933,6924321
738,"Set in London in 1921, Florence Cathcart (Rebecca Hall), author of the popular book ""Seeing Through Ghosts,"" has devoted her career to exposing claims of the supernatural as nothing but hoaxes. Haunted by the recent death of her fianc",R,Art House and International|Horror|Mystery and Suspense,Nick Murphy,Nick Murphy|Stephen Volk,"Aug 17, 2012","Jan 29, 2013",$,"175,088",107.0,Cohen Media Group,2012-08-17,2012-08-17,26,"Aug 17, 2012",Robot & Frank,2500000,3317468,4934356
738,"Set in London in 1921, Florence Cathcart (Rebecca Hall), author of the popular book ""Seeing Through Ghosts,"" has devoted her career to exposing claims of the supernatural as nothing but hoaxes. Haunted by the recent death of her fianc",R,Art House and International|Horror|Mystery and Suspense,Nick Murphy,Nick Murphy|Stephen Volk,"Aug 17, 2012","Jan 29, 2013",$,"175,088",107.0,Cohen Media Group,2012-08-17,2012-08-17,68,"Aug 17, 2012",Compliance,270000,319285,830700
5,"Illeana Douglas delivers a superb performance as Denise Waverly, a fictional singer and songwriter whose life bears more than a passing resemblance to that of real-life pop star Carole King. Edna Buxton, the daughter of a Philadelphia steel tycoon, aspires to a career as a singer, and when against her mother's bidding she sings a sultry version of ""Hey There (You With the Stars in Your Eyes)"" (instead of Mom's choice, ""You'll Never Walk Alone"") at a talent contest, she wins a recording contact and moves to New York City. She cuts a record and gains a new stage name, Denise Waverly; however, she soon finds that girl singers are a dime a dozen in the Big Apple and her career as a vocalist goes nowhere. But she has a knack for writing songs, and eccentric producer Joel Milner (John Turturro) asks her to pen some songs for his upcoming projects. Teamed with Howard Caszatt (Eric Stoltz), a hipster songwriter who wants to express his political and social ideals through pop tunes, she finds both a successful collaborator and husband. While her work with Howard gains Denise writing credits on a string of hit records and respect within the industry, their marriage falls apart, and she becomes involved with Jay Phillips (Matt Dillon), the gifted but unstable leader of a popular West Coast surf music combo. Students of pop music history will have a ball with the various characters modeled after real-life rock legends, and the 1960s-style song score includes numbers written by Joni Mitchell and J. Mascis (of the band Dinosaur Jr.), as well as one-time King collaborator Gerry Goffin; a collaboration between Elvis Costello and Burt Bacharach, ""God Give Me Strength,"" led to a full album written by the two great tunesmiths.",R,Drama|Musical and Performing Arts,Allison Anders,Allison Anders,"Sep 13, 1996","Apr 18, 2000",,,116.0,,1996-09-13,1996-09-13,71,"Sep 13, 1996",Maximum Risk,25000000,14102929,51702929
6,"Michael Douglas runs afoul of a treacherous supervisor in this film version of Michael Crichton's novel. Douglas plays Tom Sanders, an executive at DigiCom, a leading computer software firm. DigiCom is about to launch a new virtual reality-based data storage system that is expected to revolutionize the industry, and Bob Garvin (Donald Sutherland), the owner of the company, is in the midst of negotiating a merger that could bring",R,Drama|Mystery and Suspense,Barry Levinson,Paul Attanasio|Michael Crichton,"Dec 9, 1994","Aug 27, 1997",,,128.0,,1994-12-09,1994-12-09,3,"Dec 9, 1994",Disclosure,55000000,83015089,212200000
1720,"Wesley Snipes is battling bad guys in the air again, this time with parachutes, in this action-packed suspense thriller. Pete Nessip (Snipes) is a Federal Marshall who, teamed with his brother Terry (Malcolm-Jamal Warner), is escorting criminal computer genius Earl Leedy (Michael Jeter) to a new prison facility. Pete, Terry, and Earl are on a jet en route to Earl's new lockup when terrorists attempt a daring hijacking; Terry is killed in an explosion aboard the plane, and suddenly Earl is missing. Pete discovers that a team of sky-diving outlaws, led by former DEA agent gone bad Ty Moncrief (Gary Busey), have snatched Earl from his flight and spirited him away for a special raid on Washington D.C.; Ty and his men intend to take advantage of an obscure rule in which the normally restricted airspace in Washington D.C. is open to parachute enthusiasts on July 4. Eager to avenge his brother's death and put both Ty and Earl behind bars, Pete recruits sky-diving expert Jessie Crossman (Yancy Butler) to teach him how to infiltrate Ty's team of sky-bound criminals. Superb aerial stunt work highlights this film; please note that Pete's last name is an anagram for the leading man's last name.",R,Action and Adventure,John Badham,Peter Barsocchini|John Bishop,"Dec 9, 1994","May 25, 1999",,,101.0,,1994-12-09,1994-12-09,3,"Dec 9, 1994",Disclosure,55000000,83015089,212200000
8,"The year is 1942. As the Allies unite overseas to keep the world safe for democracy, there are voices at home that are barely heard. One of them belongs to Willie Morris, a shy and gawky eight-year-old whose childhood is even more quiet and isolated than his home town of Yazoo, Mississippi. An only child, ignored at school and uncomfortable with girls, Willie looks up to and confides in next-door neighbor Dink Jenkins, the town's star athlete, who's preparing to ship out in the service of Uncle Sam. Willie's father, Jack Morris, a stern but good-hearted veteran who lost his leg in the Spanish Civil War, is chiefly responsible for Willie's overprotective upbringing. Pushing in the other direction is his mother, Ellen Morris, a capable woman who knows that what Willie needs most is some freedom and a friend. Willie's ninth birthday gives her an opportunity to offer him both, in the form of a Jack Russell terrier puppy that the delighted Willie names Skip. Skip's outgoing personality helps Willie to build a friendship with Rivers Applewhite, the prettiest girl in school. Skip then further serves as matchmaker for Willie and Rivers at the movie theater, and lends a paw after Willie is challenged by Big Boy Wilkinson, Henjie Henick and Spit McGee to prove his worth in a football game. With Skip's canine help, Willie starts becoming ""one of the boys."" Then unexpectedly, Dink returns to Yazoo. But the dark truth soon emerges: Dink, when confronted by the realities of war, went AWOL. In trying to reconcile his hero worship of the Dink he once knew with his disappointment in the disgraced soldier, Willie begins to contend with the complexities of war and human conduct. He reaches a new perspective on these matters through his father's eyes and his own. Dink fails to show up at Willie's first baseball game, and the disappointed Willie takes it out on Skip, who runs away. The dog's disappearance and subsequent recovery teach Willie the strength of forgiveness, and give Dink a chance to embrace the power of redemption. Ultimately, it is a dog's love that teaches Willie Morris lifelong lessons of the human spirit.",PG,Drama|Kids and Family,Jay Russell,Gail Gilchriest,"Mar 3, 2000","Jul 11, 2000",,,95.0,Warner Bros. Pictures,2000-03-03,2000-03-03,1,"Mar 3, 2000",What Planet Are You From?,50000000,6291602,6291602
8,"The year is 1942. As the Allies unite overseas to keep the world safe for democracy, there are voices at home that are barely heard. One of them belongs to Willie Morris, a shy and gawky eight-year-old whose childhood is even more quiet and isolated than his home town of Yazoo, Mississippi. An only child, ignored at school and uncomfortable with girls, Willie looks up to and confides in next-door neighbor Dink Jenkins, the town's star athlete, who's preparing to ship out in the service of Uncle Sam. Willie's father, Jack Morris, a stern but good-hearted veteran who lost his leg in the Spanish Civil War, is chiefly responsible for Willie's overprotective upbringing. Pushing in the other direction is his mother, Ellen Morris, a capable woman who knows that what Willie needs most is some freedom and a friend. Willie's ninth birthday gives her an opportunity to offer him both, in the form of a Jack Russell terrier puppy that the delighted Willie names Skip. Skip's outgoing personality helps Willie to build a friendship with Rivers Applewhite, the prettiest girl in school. Skip then further serves as matchmaker for Willie and Rivers at the movie theater, and lends a paw after Willie is challenged by Big Boy Wilkinson, Henjie Henick and Spit McGee to prove his worth in a football game. With Skip's canine help, Willie starts becoming ""one of the boys."" Then unexpectedly, Dink returns to Yazoo. But the dark truth soon emerges: Dink, when confronted by the realities of war, went AWOL. In trying to reconcile his hero worship of the Dink he once knew with his disappointment in the disgraced soldier, Willie begins to contend with the complexities of war and human conduct. He reaches a new perspective on these matters through his father's eyes and his own. Dink fails to show up at Willie's first baseball game, and the disappointed Willie takes it out on Skip, who runs away. The dog's disappearance and subsequent recovery teach Willie the strength of forgiveness, and give Dink a chance to embrace the power of redemption. Ultimately, it is a dog's love that teaches Willie Morris lifelong lessons of the human spirit.",PG,Drama|Kids and Family,Jay Russell,Gail Gilchriest,"Mar 3, 2000","Jul 11, 2000",,,95.0,Warner Bros. Pictures,2000-03-03,2000-03-03,67,"Mar 3, 2000",The Next Best Thing,25000000,14983572,24355762
8,"The year is 1942. As the Allies unite overseas to keep the world safe for democracy, there are voices at home that are barely heard. One of them belongs to Willie Morris, a shy and gawky eight-year-old whose childhood is even more quiet and isolated than his home town of Yazoo, Mississippi. An only child, ignored at school and uncomfortable with girls, Willie looks up to and confides in next-door neighbor Dink Jenkins, the town's star athlete, who's preparing to ship out in the service of Uncle Sam. Willie's father, Jack Morris, a stern but good-hearted veteran who lost his leg in the Spanish Civil War, is chiefly responsible for Willie's overprotective upbringing. Pushing in the other direction is his mother, Ellen Morris, a capable woman who knows that what Willie needs most is some freedom and a friend. Willie's ninth birthday gives her an opportunity to offer him both, in the form of a Jack Russell terrier puppy that the delighted Willie names Skip. Skip's outgoing personality helps Willie to build a friendship with Rivers Applewhite, the prettiest girl in school. Skip then further serves as matchmaker for Willie and Rivers at the movie theater, and lends a paw after Willie is challenged by Big Boy Wilkinson, Henjie Henick and Spit McGee to prove his worth in a football game. With Skip's canine help, Willie starts becoming ""one of the boys."" Then unexpectedly, Dink returns to Yazoo. But the dark truth soon emerges: Dink, when confronted by the realities of war, went AWOL. In trying to reconcile his hero worship of the Dink he once knew with his disappointment in the disgraced soldier, Willie begins to contend with the complexities of war and human conduct. He reaches a new perspective on these matters through his father's eyes and his own. Dink fails to show up at Willie's first baseball game, and the disappointed Willie takes it out on Skip, who runs away. The dog's disappearance and subsequent recovery teach Willie the strength of forgiveness, and give Dink a chance to embrace the power of redemption. Ultimately, it is a dog's love that teaches Willie Morris lifelong lessons of the human spirit.",PG,Drama|Kids and Family,Jay Russell,Gail Gilchriest,"Mar 3, 2000","Jul 11, 2000",,,95.0,Warner Bros. Pictures,2000-03-03,2000-03-03,54,"Mar 3, 2000",Drowning Mona,16000000,15427192,15980376
8,"The year is 1942. As the Allies unite overseas to keep the world safe for democracy, there are voices at home that are barely heard. One of them belongs to Willie Morris, a shy and gawky eight-year-old whose childhood is even more quiet and isolated than his home town of Yazoo, Mississippi. An only child, ignored at school and uncomfortable with girls, Willie looks up to and confides in next-door neighbor Dink Jenkins, the town's star athlete, who's preparing to ship out in the service of Uncle Sam. Willie's father, Jack Morris, a stern but good-hearted veteran who lost his leg in the Spanish Civil War, is chiefly responsible for Willie's overprotective upbringing. Pushing in the other direction is his mother, Ellen Morris, a capable woman who knows that what Willie needs most is some freedom and a friend. Willie's ninth birthday gives her an opportunity to offer him both, in the form of a Jack Russell terrier puppy that the delighted Willie names Skip. Skip's outgoing personality helps Willie to build a friendship with Rivers Applewhite, the prettiest girl in school. Skip then further serves as matchmaker for Willie and Rivers at the movie theater, and lends a paw after Willie is challenged by Big Boy Wilkinson, Henjie Henick and Spit McGee to prove his worth in a football game. With Skip's canine help, Willie starts becoming ""one of the boys."" Then unexpectedly, Dink returns to Yazoo. But the dark truth soon emerges: Dink, when confronted by the realities of war, went AWOL. In trying to reconcile his hero worship of the Dink he once knew with his disappointment in the disgraced soldier, Willie begins to contend with the complexities of war and human conduct. He reaches a new perspective on these matters through his father's eyes and his own. Dink fails to show up at Willie's first baseball game, and the disappointed Willie takes it out on Skip, who runs away. The dog's disappearance and subsequent recovery teach Willie the strength of forgiveness, and give Dink a chance to embrace the power of redemption. Ultimately, it is a dog's love that teaches Willie Morris lifelong lessons of the human spirit.",PG,Drama|Kids and Family,Jay Russell,Gail Gilchriest,"Mar 3, 2000","Jul 11, 2000",,,95.0,Warner Bros. Pictures,2000-03-03,2000-03-03,22,"Mar 3, 2000",Ghost Dog: The Way of the Samurai,2000000,3330230,10672492
1793,"A surreal crime drama told as only Jim Jarmusch could, Ghost Dog: The Way of the Samurai stars Forest Whitaker as Ghost Dog, a hit man living in an unidentified but run-down city in what license plates call ""The Industrialized State."" Known for his gift of being able to come and go without people noticing him, Ghost Dog is a self-taught samurai who is obsessed with order and his strict personal moral code, drawn from the philosophies of the Japanese warriors. As every samurai needs a leader to whom he swears loyalty, Ghost Dog has devoted himself the service of Louie (John Tormey), a low-level crime boss who once saved his life. When Louie's superiors decide he must be executed, Ghost Dog leaps into action, methodically wiping out his many enemies. Along with a dizzying series of stylized shoot-outs, Ghost Dog also features carrier pigeons, characters who read Rashomon, a French-speaking ice cream man, and a score by RZA from the top-selling hip-hop group Wu-Tang Clan, who have their own well-documented obsession with Asian culture. Ghost Dog was screened in competition at the 1999 Cannes Film Festival.",R,Action and Adventure|Comedy|Drama,Jim Jarmusch,Jim Jarmusch,"Mar 3, 2000","Aug 22, 2000",,,116.0,Artisan Entertainment,2000-03-03,2000-03-03,1,"Mar 3, 2000",What Planet Are You From?,50000000,6291602,6291602
1793,"A surreal crime drama told as only Jim Jarmusch could, Ghost Dog: The Way of the Samurai stars Forest Whitaker as Ghost Dog, a hit man living in an unidentified but run-down city in what license plates call ""The Industrialized State."" Known for his gift of being able to come and go without people noticing him, Ghost Dog is a self-taught samurai who is obsessed with order and his strict personal moral code, drawn from the philosophies of the Japanese warriors. As every samurai needs a leader to whom he swears loyalty, Ghost Dog has devoted himself the service of Louie (John Tormey), a low-level crime boss who once saved his life. When Louie's superiors decide he must be executed, Ghost Dog leaps into action, methodically wiping out his many enemies. Along with a dizzying series of stylized shoot-outs, Ghost Dog also features carrier pigeons, characters who read Rashomon, a French-speaking ice cream man, and a score by RZA from the top-selling hip-hop group Wu-Tang Clan, who have their own well-documented obsession with Asian culture. Ghost Dog was screened in competition at the 1999 Cannes Film Festival.",R,Action and Adventure|Comedy|Drama,Jim Jarmusch,Jim Jarmusch,"Mar 3, 2000","Aug 22, 2000",,,116.0,Artisan Entertainment,2000-03-03,2000-03-03,67,"Mar 3, 2000",The Next Best Thing,25000000,14983572,24355762
1793,"A surreal crime drama told as only Jim Jarmusch could, Ghost Dog: The Way of the Samurai stars Forest Whitaker as Ghost Dog, a hit man living in an unidentified but run-down city in what license plates call ""The Industrialized State."" Known for his gift of being able to come and go without people noticing him, Ghost Dog is a self-taught samurai who is obsessed with order and his strict personal moral code, drawn from the philosophies of the Japanese warriors. As every samurai needs a leader to whom he swears loyalty, Ghost Dog has devoted himself the service of Louie (John Tormey), a low-level crime boss who once saved his life. When Louie's superiors decide he must be executed, Ghost Dog leaps into action, methodically wiping out his many enemies. Along with a dizzying series of stylized shoot-outs, Ghost Dog also features carrier pigeons, characters who read Rashomon, a French-speaking ice cream man, and a score by RZA from the top-selling hip-hop group Wu-Tang Clan, who have their own well-documented obsession with Asian culture. Ghost Dog was screened in competition at the 1999 Cannes Film Festival.",R,Action and Adventure|Comedy|Drama,Jim Jarmusch,Jim Jarmusch,"Mar 3, 2000","Aug 22, 2000",,,116.0,Artisan Entertainment,2000-03-03,2000-03-03,54,"Mar 3, 2000",Drowning Mona,16000000,15427192,15980376
1793,"A surreal crime drama told as only Jim Jarmusch could, Ghost Dog: The Way of the Samurai stars Forest Whitaker as Ghost Dog, a hit man living in an unidentified but run-down city in what license plates call ""The Industrialized State."" Known for his gift of being able to come and go without people noticing him, Ghost Dog is a self-taught samurai who is obsessed with order and his strict personal moral code, drawn from the philosophies of the Japanese warriors. As every samurai needs a leader to whom he swears loyalty, Ghost Dog has devoted himself the service of Louie (John Tormey), a low-level crime boss who once saved his life. When Louie's superiors decide he must be executed, Ghost Dog leaps into action, methodically wiping out his many enemies. Along with a dizzying series of stylized shoot-outs, Ghost Dog also features carrier pigeons, characters who read Rashomon, a French-speaking ice cream man, and a score by RZA from the top-selling hip-hop group Wu-Tang Clan, who have their own well-documented obsession with Asian culture. Ghost Dog was screened in competition at the 1999 Cannes Film Festival.",R,Action and Adventure|Comedy|Drama,Jim Jarmusch,Jim Jarmusch,"Mar 3, 2000","Aug 22, 2000",,,116.0,Artisan Entertainment,2000-03-03,2000-03-03,22,"Mar 3, 2000",Ghost Dog: The Way of the Samurai,2000000,3330230,10672492
1843,"Madonna and Rupert Everett star in this comic drama about a mismatched couple whose unconventional choices lead to an unusual dilemma. Abbie (Madonna) and Robert (Rupert Everett) are best friends, but since Robert is gay, their friendship never progresses into a romance. However, both Abbie and Robert desperately want to be parents, and they agree to have a child that they will raise together. This raises a few eyebrows, especially from Robert's mother (Lynn Redgrave) and Vera (Illeana Douglas), a close friend of Robert's who is secretly in love with him and wants the sort of relationship with him that he has with Abbie. Robert and Abbie go through with their plan, but when Robert meets and falls in love with another man, he decides he wants custody of the child, setting in motion a bitter dispute. Everett co-wrote the screenplay for The Next Big Thing; it was Everett's first produced screenplay, though he previously published a novel.",PG-13,Art House and International|Comedy|Drama,John Schlesinger,Tom Ropelewski,"Mar 3, 2000","May 2, 2005",,,108.0,Paramount Home Video,2000-03-03,2000-03-03,1,"Mar 3, 2000",What Planet Are You From?,50000000,6291602,6291602
1843,"Madonna and Rupert Everett star in this comic drama about a mismatched couple whose unconventional choices lead to an unusual dilemma. Abbie (Madonna) and Robert (Rupert Everett) are best friends, but since Robert is gay, their friendship never progresses into a romance. However, both Abbie and Robert desperately want to be parents, and they agree to have a child that they will raise together. This raises a few eyebrows, especially from Robert's mother (Lynn Redgrave) and Vera (Illeana Douglas), a close friend of Robert's who is secretly in love with him and wants the sort of relationship with him that he has with Abbie. Robert and Abbie go through with their plan, but when Robert meets and falls in love with another man, he decides he wants custody of the child, setting in motion a bitter dispute. Everett co-wrote the screenplay for The Next Big Thing; it was Everett's first produced screenplay, though he previously published a novel.",PG-13,Art House and International|Comedy|Drama,John Schlesinger,Tom Ropelewski,"Mar 3, 2000","May 2, 2005",,,108.0,Paramount Home Video,2000-03-03,2000-03-03,67,"Mar 3, 2000",The Next Best Thing,25000000,14983572,24355762
1843,"Madonna and Rupert Everett star in this comic drama about a mismatched couple whose unconventional choices lead to an unusual dilemma. Abbie (Madonna) and Robert (Rupert Everett) are best friends, but since Robert is gay, their friendship never progresses into a romance. However, both Abbie and Robert desperately want to be parents, and they agree to have a child that they will raise together. This raises a few eyebrows, especially from Robert's mother (Lynn Redgrave) and Vera (Illeana Douglas), a close friend of Robert's who is secretly in love with him and wants the sort of relationship with him that he has with Abbie. Robert and Abbie go through with their plan, but when Robert meets and falls in love with another man, he decides he wants custody of the child, setting in motion a bitter dispute. Everett co-wrote the screenplay for The Next Big Thing; it was Everett's first produced screenplay, though he previously published a novel.",PG-13,Art House and International|Comedy|Drama,John Schlesinger,Tom Ropelewski,"Mar 3, 2000","May 2, 2005",,,108.0,Paramount Home Video,2000-03-03,2000-03-03,54,"Mar 3, 2000",Drowning Mona,16000000,15427192,15980376
1843,"Madonna and Rupert Everett star in this comic drama about a mismatched couple whose unconventional choices lead to an unusual dilemma. Abbie (Madonna) and Robert (Rupert Everett) are best friends, but since Robert is gay, their friendship never progresses into a romance. However, both Abbie and Robert desperately want to be parents, and they agree to have a child that they will raise together. This raises a few eyebrows, especially from Robert's mother (Lynn Redgrave) and Vera (Illeana Douglas), a close friend of Robert's who is secretly in love with him and wants the sort of relationship with him that he has with Abbie. Robert and Abbie go through with their plan, but when Robert meets and falls in love with another man, he decides he wants custody of the child, setting in motion a bitter dispute. Everett co-wrote the screenplay for The Next Big Thing; it was Everett's first produced screenplay, though he previously published a novel.",PG-13,Art House and International|Comedy|Drama,John Schlesinger,Tom Ropelewski,"Mar 3, 2000","May 2, 2005",,,108.0,Paramount Home Video,2000-03-03,2000-03-03,22,"Mar 3, 2000",Ghost Dog: The Way of the Samurai,2000000,3330230,10672492
